"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"58781.9281500861","0","CLICK User:12 Request:6"
"58892.2709450503","0","CLICK User:8 Request:23"
"58970.3845041758","0","CLICK User:3 Request:44"
"59063.4306874198","0","CLICK User:13 Request:2"
"59141.2570592072","0","CLICK User:9 Request:19"
"59203.7401401575","0","CLICK User:1 Request:52"
"59298.2242156475","0","CLICK User:4 Request:40"
"59375.580974677","0","CLICK User:5 Request:36"
"59547.4651107892","0","CLICK User:10 Request:15"
"59611.1955569772","0","CLICK User:6 Request:32"
"59689.1920621196","0","CLICK User:2 Request:49"
"59736.1960807868","0","CLICK User:11 Request:11"
"59798.0064505405","0","CLICK User:7 Request:28"
"59923.8271903273","0","CLICK User:12 Request:7"
"60047.6532631941","0","CLICK User:8 Request:24"
"60111.123341095","0","CLICK User:3 Request:45"
"60205.7300578705","0","CLICK User:13 Request:3"
"60298.4228442442","0","CLICK User:9 Request:20"
"60329.5159021607","0","CLICK User:1 Request:53"
"60423.8745427142","0","CLICK User:4 Request:41"
"60517.4587831694","0","CLICK User:5 Request:37"
"60674.5446697834","0","CLICK User:10 Request:16"
"60751.63910497","0","CLICK User:6 Request:33"
"60832.1744802761","0","CLICK User:2 Request:50"
"60906.9233659585","0","CLICK User:11 Request:12"
"60969.4564532643","0","CLICK User:7 Request:29"
"61048.1949521517","0","CLICK User:12 Request:8"
"61188.2739286697","0","CLICK User:8 Request:25"
"61251.2199176152","0","CLICK User:3 Request:46"
"61391.2662084148","0","CLICK User:13 Request:4"
"61438.3185572468","0","CLICK User:9 Request:21"
"61518.3661610624","0","CLICK User:1 Request:54"
"61563.2296842196","0","CLICK User:4 Request:42"
"61657.7984073395","0","CLICK User:5 Request:38"
"61813.2452588248","0","CLICK User:10 Request:17"
"61893.4713769487","0","CLICK User:6 Request:34"
"61972.4249869746","0","CLICK User:2 Request:51"
"62048.2256823144","0","CLICK User:11 Request:13"
"62110.0301854007","0","CLICK User:7 Request:30"
"62172.7750314635","0","CLICK User:12 Request:9"
"62329.3457688058","0","CLICK User:8 Request:26"
"62376.089419186","0","CLICK User:3 Request:47"
"62537.9979857775","0","CLICK User:13 Request:5"
"62579.7862577506","0","CLICK User:9 Request:22"
"62629.1570576707","0","CLICK User:1 Request:55"
"62705.8841277313","0","CLICK User:4 Request:43"
"62750.9767302828","0","CLICK User:14 Request:1"
"62785.3710457614","0","CLICK User:5 Request:39"
"62954.0653909924","0","CLICK User:10 Request:18"
"63048.7997776254","0","CLICK User:6 Request:35"
"63094.4555802483","0","CLICK User:2 Request:52"
"63188.3485191554","0","CLICK User:11 Request:14"
"63250.7760064477","0","CLICK User:7 Request:31"
"63313.2107572331","0","CLICK User:12 Request:10"
"63470.3826883026","0","CLICK User:8 Request:27"
"63537.2626967953","0","CLICK User:3 Request:48"
"63657.6218485869","0","CLICK User:13 Request:6"
"63704.1587687821","0","CLICK User:9 Request:23"
"63769.2924659419","0","CLICK User:1 Request:56"
"63845.9326534518","0","CLICK User:4 Request:44"
"63891.6557830674","0","CLICK User:14 Request:2"
"63955.2837022582","0","CLICK User:5 Request:40"
"64079.790867275","0","CLICK User:10 Request:19"
"64174.600682489","0","CLICK User:6 Request:36"
"64235.2497314603","0","CLICK User:2 Request:53"
"64331.1996357079","0","CLICK User:11 Request:15"
"64391.7433640309","0","CLICK User:7 Request:32"
"64455.549518165","0","CLICK User:12 Request:11"
"64600.2226539965","0","CLICK User:8 Request:28"
"64658.3984836062","0","CLICK User:3 Request:49"
"64782.1044294736","0","CLICK User:13 Request:7"
"64829.2690830818","0","CLICK User:9 Request:24"
"64907.318667596","0","CLICK User:1 Request:57"
"64995.3988565586","0","CLICK User:4 Request:45"
"65049.2646411765","0","CLICK User:14 Request:3"
"65110.2614997157","0","CLICK User:5 Request:41"
"65219.8765485558","0","CLICK User:10 Request:20"
"65315.4543384704","0","CLICK User:6 Request:37"
"65376.0195779072","0","CLICK User:2 Request:54"
"65486.8853443664","0","CLICK User:11 Request:16"
"65501.6190605231","0","CLICK User:7 Request:33"
"65564.052693848","0","CLICK User:12 Request:12"
"65736.7489443491","0","CLICK User:8 Request:29"
"65782.0267659716","0","CLICK User:3 Request:50"
"65924.8708983963","0","CLICK User:13 Request:8"
"65990.8457639169","0","CLICK User:9 Request:25"
"66047.9968822853","0","CLICK User:1 Request:58"
"66110.3550870292","0","CLICK User:4 Request:46"
"66188.3764556668","0","CLICK User:14 Request:4"
"66250.8640064589","0","CLICK User:5 Request:42"
"66360.6064457913","0","CLICK User:10 Request:21"
"66456.2250230127","0","CLICK User:6 Request:38"
"66517.8736403649","0","CLICK User:2 Request:55"
"66625.932066785","0","CLICK User:11 Request:17"
"66688.7953636566","0","CLICK User:7 Request:34"
"66704.4557338991","0","CLICK User:12 Request:13"
"66876.4334573249","0","CLICK User:8 Request:30"
"66938.5720810885","0","CLICK User:3 Request:51"
"67063.4541540894","0","CLICK User:13 Request:9"
"67125.8439270913","0","CLICK User:9 Request:26"
"67188.3859540808","0","CLICK User:1 Request:59"
"67237.3555856959","0","CLICK User:4 Request:47"
"67330.5766515018","0","CLICK User:14 Request:5"
"67376.0726572791","0","CLICK User:5 Request:43"
"67487.5625254048","0","CLICK User:10 Request:22"
"67563.6185604595","0","CLICK User:15 Request:1"
"67595.9455740883","0","CLICK User:6 Request:39"
"67641.9695799326","0","CLICK User:2 Request:56"
"67767.6682371642","0","CLICK User:11 Request:18"
"67829.1428100499","0","CLICK User:7 Request:35"
"67892.2787672735","0","CLICK User:12 Request:14"
"68001.841574837","0","CLICK User:8 Request:31"
"68063.5103064775","0","CLICK User:3 Request:52"
"68188.4918334593","0","CLICK User:13 Request:10"
"68283.174537546","0","CLICK User:9 Request:27"
"68299.9157714179","0","CLICK User:1 Request:60"
"68376.3148668336","0","CLICK User:4 Request:48"
"68471.5398186082","0","CLICK User:14 Request:6"
"68533.7901884178","0","CLICK User:5 Request:44"
"68626.7447399041","0","CLICK User:10 Request:23"
"68704.0995433777","0","CLICK User:15 Request:2"
"68751.5019366987","0","CLICK User:6 Request:40"
"68799.172799895","0","CLICK User:2 Request:57"
"68907.4189596722","0","CLICK User:11 Request:19"
"68954.2388767287","0","CLICK User:7 Request:36"
"69048.7195998374","0","CLICK User:12 Request:15"
"69126.9027208765","0","CLICK User:8 Request:32"
"69188.9938525707","0","CLICK User:3 Request:53"
"69330.0710006439","0","CLICK User:13 Request:11"
"69424.591672964","0","CLICK User:9 Request:28"
"69486.3802522388","0","CLICK User:1 Request:61"
"69502.6300828737","0","CLICK User:4 Request:49"
"69611.5022998733","0","CLICK User:14 Request:7"
