"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"54576.4869557444","0","CLICK User:1 Request:44"
"54588.8522144574","0","CLICK User:7 Request:21"
"54594.1769135463","0","CLICK User:6 Request:25"
"54941.0187607643","0","CLICK User:10 Request:10"
"54952.0796637562","0","CLICK User:4 Request:33"
"54958.7461534916","0","CLICK User:5 Request:29"
"55174.2995268952","0","CLICK User:3 Request:37"
"55232.4974263489","0","CLICK User:9 Request:14"
"55242.4436625325","0","CLICK User:8 Request:18"
"55667.5119323825","0","CLICK User:2 Request:41"
"55723.2313045373","0","CLICK User:12 Request:3"
"55828.1784416735","0","CLICK User:11 Request:7"
"55847.2442726659","0","CLICK User:1 Request:45"
"55856.0160579068","0","CLICK User:7 Request:22"
"55881.35978176","0","CLICK User:6 Request:26"
"56219.1999262476","0","CLICK User:10 Request:11"
"56220.3724216346","0","CLICK User:4 Request:34"
"56223.9265046256","0","CLICK User:5 Request:30"
"56439.8123225158","0","CLICK User:3 Request:38"
"56490.8676940784","0","CLICK User:9 Request:15"
"56505.6441530977","0","CLICK User:8 Request:19"
"56934.1301757626","0","CLICK User:2 Request:42"
"56997.7214981234","0","CLICK User:12 Request:4"
"57092.3879990334","0","CLICK User:11 Request:8"
"57112.9070873533","0","CLICK User:1 Request:46"
"57122.1753044032","0","CLICK User:7 Request:23"
"57143.6688182437","0","CLICK User:6 Request:27"
"57487.071680898","0","CLICK User:10 Request:12"
"57491.7999354667","0","CLICK User:5 Request:31"
"57492.601154616","0","CLICK User:4 Request:35"
"57703.1471877012","0","CLICK User:3 Request:39"
"57753.6293020482","0","CLICK User:9 Request:16"
"57761.483931617","0","CLICK User:8 Request:20"
"58059.9078933216","0","CLICK User:13 Request:1"
"58209.4875186651","0","CLICK User:2 Request:43"
"58282.7649882876","0","CLICK User:12 Request:5"
"58385.4584870423","0","CLICK User:11 Request:9"
"58399.9865904745","0","CLICK User:1 Request:47"
"58400.4603937093","0","CLICK User:7 Request:24"
"58424.8238253745","0","CLICK User:6 Request:28"
"58757.6292517624","0","CLICK User:10 Request:13"
"58762.5290365116","0","CLICK User:5 Request:32"
"58764.8991701459","0","CLICK User:4 Request:36"
