"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"181593.706742058","0","CLICK User:16 Request:83 Result=500"
"182205.578641978","0","CLICK User:32 Request:25 Result=500"
"182240.357922585","0","CLICK User:20 Request:69 Result=500"
"182341.82417039","0","CLICK User:27 Request:43 Result=500"
"182362.993900063","0","CLICK User:5 Request:125 Result=500"
"182892.894208621","0","CLICK User:14 Request:92 Result=500"
"182981.748518317","0","CLICK User:39 Request:1 Result=500"
"183587.894550844","0","CLICK User:10 Request:107 Result=500"
"183618.602643632","0","CLICK User:37 Request:8 Result=500"
"183627.113501856","0","CLICK User:18 Request:76 Result=500"
"184330.406518147","0","CLICK User:9 Request:112 Result=500"
"184811.20226174","0","CLICK User:32 Request:27 Result=500"
"185023.774530003","0","CLICK User:7 Request:119 Result=500"
"185128.052308324","0","CLICK User:31 Request:31 Result=500"
"185159.329467851","0","CLICK User:38 Request:6 Result=500"
"186255.895372177","0","CLICK User:18 Request:78 Result=500"
"186469.940453326","0","CLICK User:6 Request:124 Result=500"
"186483.661750306","0","CLICK User:21 Request:68 Result=500"
"187373.504453778","0","CLICK User:18 Request:79 Result=500"
"187385.888429954","0","CLICK User:11 Request:106 Result=500"
"187386.219477615","0","CLICK User:24 Request:57 Result=500"
"187426.537450989","0","CLICK User:17 Request:83 Result=500"
"187809.774426638","0","CLICK User:1 Request:144 Result=500"
"187835.436626722","0","CLICK User:20 Request:73 Result=500"
"187848.226241045","0","CLICK User:27 Request:47 Result=500"
"188612.789055592","0","CLICK User:36 Request:15 Result=500"
"188624.195533231","0","CLICK User:23 Request:62 Result=500"
"188633.152258178","0","CLICK User:35 Request:19 Result=500"
"188654.114698935","0","CLICK User:30 Request:37 Result=500"
"188826.895038336","0","CLICK User:28 Request:44 Result=500"
"188849.604907886","0","CLICK User:19 Request:77 Result=500"
"188910.968572821","0","CLICK User:29 Request:41 Result=500"
"188940.165859069","0","CLICK User:1 Request:145 Result=500"
"188957.025823114","0","CLICK User:20 Request:74 Result=500"
"188957.466661266","0","CLICK User:27 Request:48 Result=500"
"188997.668977482","0","CLICK User:6 Request:126 Result=500"
"189016.680332277","0","CLICK User:7 Request:122 Result=500"
"189024.064231627","0","CLICK User:21 Request:70 Result=500"
"190181.380873826","0","CLICK User:18 Request:81 Result=500"
"190201.345422393","0","CLICK User:8 Request:119 Result=500"
"190209.283023401","0","CLICK User:16 Request:89 Result=500"
"190216.501538603","0","CLICK User:11 Request:108 Result=500"
"190216.635075128","0","CLICK User:17 Request:85 Result=500"
"190221.970948822","0","CLICK User:13 Request:101 Result=500"
"190238.95942082","0","CLICK User:34 Request:23 Result=500"
"190325.92689853","0","CLICK User:32 Request:31 Result=500"
"190431.590048456","0","CLICK User:37 Request:13 Result=500"
"190435.992283936","0","CLICK User:10 Request:112 Result=500"
"191565.024884448","0","CLICK User:29 Request:43 Result=500"
"191602.716825742","0","CLICK User:27 Request:50 Result=500"
"191606.628775445","0","CLICK User:6 Request:128 Result=500"
"191647.96000609","0","CLICK User:1 Request:147 Result=500"
"191648.103041029","0","CLICK User:20 Request:76 Result=500"
"191675.729736601","0","CLICK User:7 Request:124 Result=500"
"191677.182435198","0","CLICK User:21 Request:72 Result=500"
"191701.242755713","0","CLICK User:24 Request:60 Result=500"
"192476.438765262","0","CLICK User:3 Request:139 Result=500"
"192830.291559402","0","CLICK User:8 Request:121 Result=500"
"192830.999470603","0","CLICK User:21 Request:73 Result=500"
"192886.72443006","0","CLICK User:11 Request:110 Result=500"
"192922.697717168","0","CLICK User:34 Request:25 Result=500"
"192941.698456089","0","CLICK User:13 Request:103 Result=500"
"192969.121215127","0","CLICK User:16 Request:91 Result=500"
"192979.173610054","0","CLICK User:17 Request:87 Result=500"
"192984.283198004","0","CLICK User:32 Request:33 Result=500"
"193081.477115108","0","CLICK User:37 Request:15 Result=500"
"193085.455833074","0","CLICK User:39 Request:8 Result=500"
"193085.575401343","0","CLICK User:19 Request:80 Result=500"
"194027.583952709","0","CLICK User:34 Request:26 Result=500"
"194221.174199514","0","CLICK User:37 Request:16 Result=500"
"194221.368078904","0","CLICK User:39 Request:9 Result=500"
"194248.875206206","0","CLICK User:29 Request:45 Result=500"
"194264.276884353","0","CLICK User:41 Request:2 Result=500"
"194320.576218486","0","CLICK User:6 Request:130 Result=500"
"194330.957426153","0","CLICK User:20 Request:78 Result=500"
"194334.809032992","0","CLICK User:24 Request:62 Result=500"
"194342.570075247","0","CLICK User:1 Request:149 Result=500"
"194357.41721364","0","CLICK User:18 Request:84 Result=500"
"194586.097115695","0","CLICK User:40 Request:6 Result=500"
"194599.776228543","0","CLICK User:5 Request:134 Result=500"
"195460.060147309","0","CLICK User:20 Request:79 Result=500"
"195472.626548905","0","CLICK User:6 Request:131 Result=500"
"195472.73494257","0","CLICK User:24 Request:63 Result=500"
"195477.524657463","0","CLICK User:18 Request:85 Result=500"
"195560.332667979","0","CLICK User:11 Request:112 Result=500"
"195713.498223936","0","CLICK User:40 Request:7 Result=500"
"195721.039685211","0","CLICK User:5 Request:135 Result=500"
"195732.27463267","0","CLICK User:32 Request:35 Result=500"
"195743.229376918","0","CLICK User:13 Request:105 Result=500"
"195762.974903235","0","CLICK User:17 Request:89 Result=500"
"195795.553345467","0","CLICK User:19 Request:82 Result=500"
"195808.157740718","0","CLICK User:27 Request:53 Result=500"
"195832.844118456","0","CLICK User:10 Request:116 Result=500"
"196857.539994608","0","CLICK User:32 Request:36 Result=500"
"196868.9908913","0","CLICK User:5 Request:136 Result=500"
"196906.542591307","0","CLICK User:13 Request:106 Result=500"
"196929.95171174","0","CLICK User:27 Request:54 Result=500"
"196932.280219972","0","CLICK User:17 Request:90 Result=500"
"196933.190112151","0","CLICK User:19 Request:83 Result=500"
"196948.539549021","0","CLICK User:10 Request:117 Result=500"
"196967.285227592","0","CLICK User:37 Request:18 Result=500"
"196971.119513793","0","CLICK User:39 Request:11 Result=500"
"196994.792913624","0","CLICK User:29 Request:47 Result=500"
"197082.554626356","0","CLICK User:21 Request:76 Result=500"
"197093.783427782","0","CLICK User:1 Request:151 Result=500"
"197342.954481645","0","CLICK User:25 Request:62 Result=500"
"197397.228139331","0","CLICK User:42 Request:1 Result=500"
"198165.730281363","0","CLICK User:24 Request:65 Result=500"
"198172.443704437","0","CLICK User:18 Request:87 Result=500"
"198189.581916137","0","CLICK User:15 Request:98 Result=500"
"198225.66471437","0","CLICK User:21 Request:77 Result=500"
"198231.436677008","0","CLICK User:1 Request:152 Result=500"
"198237.379890461","0","CLICK User:12 Request:110 Result=500"
"198260.442598151","0","CLICK User:6 Request:133 Result=500"
"198286.579718931","0","CLICK User:36 Request:22 Result=500"
"198318.744142063","0","CLICK User:11 Request:114 Result=500"
"198327.258352668","0","CLICK User:35 Request:26 Result=500"
"198351.026457273","0","CLICK User:23 Request:69 Result=500"
"198749.981073013","0","CLICK User:38 Request:16 Result=500"
"198762.748338127","0","CLICK User:33 Request:34 Result=500"
"199452.271727273","0","CLICK User:35 Request:27 Result=500"
"199475.579717534","0","CLICK User:32 Request:38 Result=500"
"199476.240416031","0","CLICK User:23 Request:70 Result=500"
"199491.368316364","0","CLICK User:5 Request:138 Result=500"
"199638.235027077","0","CLICK User:10 Request:119 Result=500"
"199645.968691552","0","CLICK User:17 Request:92 Result=500"
"199659.128185286","0","CLICK User:27 Request:56 Result=500"
"199721.452307486","0","CLICK User:37 Request:20 Result=500"
"199735.787928354","0","CLICK User:39 Request:13 Result=500"
"200096.355542394","0","CLICK User:28 Request:52 Result=500"
"200176.809063722","0","CLICK User:31 Request:42 Result=500"
